====================================================================================================
RELATORIO SIGTAP - COMPETENCIA 06/2025
Valores extraidos do site SIGTAP para validacao
====================================================================================================

Total de procedimentos no SIGTAP para 06/2025: 125

==================================================================================================================================
TABELA COMPLETA DE PROCEDIMENTOS SIGTAP
==================================================================================================================================
Codigo       Nome                                               SA         SH         TA         SP         TH Complexidade          
                                                           Srv.Amb   Srv.Hosp    Tot.Amb   Srv.Prof   Tot.Hosp
----------------------------------------------------------------------------------------------------------------------------------
  Nome:                            DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS)
  Descricao:                       N/A
  Complexidade:                    Média Complexidade
  Financiamento:                   Média e Alta Complexidade (MAC)
  Servico Ambulatorial (SA):       R$ 0.00
  Servico Hospitalar (SH):         R$ 0.00
  Total Ambulatorial (TA):         R$ 0.00
  Servico Profissional (SP):       R$ 0.00
  Total Hospitalar (TH = SH + SP): R$ 0.00
  Idade Minima:                    0 anos
  Idade Maxima:                    130 anos
  Sexo:                            Ambos
  Permanencia Media:               0 dias

  ------------------------------------------------------------------------------------------------------------------------------
  Codigo:                          0202010120
  Nome:                            DOSAGEM DE ACIDO URICO
  Descricao:                       N/A
  Complexidade:                    Média Complexidade
  Financiamento:                   Média e Alta Complexidade (MAC)
  Servico Ambulatorial (SA):       R$ 0.00
  Servico Hospitalar (SH):         R$ 0.00
  Total Ambulatorial (TA):         R$ 0.00
  Servico Profissional (SP):       R$ 0.00
  Total Hospitalar (TH = SH + SP): R$ 0.00
  Idade Minima:                    0 anos
  Idade Maxima:                    130 anos
  Sexo:                            Ambos
  Permanencia Media:               0 dias

  ------------------------------------------------------------------------------------------------------------------------------
  Codigo:                          0202010201
  Nome:                            DOSAGEM DE BILIRRUBINA TOTAL E FRACOES
  Descricao:                       N/A
  Complexidade:                    Média Complexidade
  Financiamento:                   Média e Alta Complexidade (MAC)
  Servico Ambulatorial (SA):       R$ 0.00
  Servico Hospitalar (SH):         R$ 0.00
  Total Ambulatorial (TA):         R$ 0.00
  Servico Profissional (SP):       R$ 0.00
  Total Hospitalar (TH = SH + SP): R$ 0.00
  Idade Minima:                    0 anos
  Idade Maxima:                    130 anos
  Sexo:                            Ambos
  Permanencia Media:               0 dias

  ------------------------------------------------------------------------------------------------------------------------------
  Codigo:                          0202010210
  Nome:                            DOSAGEM DE CALCIO
  Descricao:                       N/A
  Complexidade:                    Média Complexidade
  Financiamento:                   Média e Alta Complexidade (MAC)
  Servico Ambulatorial (SA):       R$ 0.00
  Servico Hospitalar (SH):         R$ 0.00
  Total Ambulatorial (TA):         R$ 0.00
  Servico Profissional (SP):       R$ 0.00
  Total Hospitalar (TH = SH + SP): R$ 0.00
  Idade Minima:                    0 anos
  Idade Maxima:                    130 anos
  Sexo:                            Ambos
  Permanencia Media:               0 dias

  ------------------------------------------------------------------------------------------------------------------------------
  Codigo:                          0202010260
  Nome:                            DOSAGEM DE CLORETO
  Descricao:                       N/A
  Complexidade:                    Média Complexidade
  Financiamento:                   Média e Alta Complexidade (MAC)
  Servico Ambulatorial (SA):       R$ 0.00
  Servico Hospitalar (SH):         R$ 0.00
  Total Ambulatorial (TA):         R$ 0.00
  Servico Profissional (SP):       R$ 0.00
  Total Hospitalar (TH = SH + SP): R$ 0.00
  Idade Minima:                    0 anos
  Idade Maxima:                    130 anos
  Sexo:                            Ambos
  Permanencia Media:               0 dias

  ------------------------------------------------------------------------------------------------------------------------------
  Codigo:                          0202010279
